"diam" "height" "species"
"1" ">4" ">4.75" "dist"
"2" ">4" ">4.75" "dist"
"3" "<=4" "<=4.75" "anoli"
"4" ">4" "<=4.75" "anoli"
"5" ">4" "<=4.75" "dist"
"6" "<=4" "<=4.75" "anoli"
"7" "<=4" ">4.75" "anoli"
"8" ">4" "<=4.75" "anoli"
"9" "<=4" ">4.75" "dist"
"10" "<=4" "<=4.75" "anoli"
"11" ">4" ">4.75" "dist"
"12" "<=4" "<=4.75" "dist"
"13" ">4" "<=4.75" "dist"
"14" ">4" "<=4.75" "dist"
"15" ">4" "<=4.75" "dist"
"16" ">4" "<=4.75" "dist"
"17" "<=4" ">4.75" "dist"
"18" ">4" "<=4.75" "anoli"
"19" "<=4" ">4.75" "anoli"
"20" "<=4" "<=4.75" "dist"
"21" ">4" "<=4.75" "dist"
"22" ">4" ">4.75" "dist"
"23" ">4" ">4.75" "dist"
"24" "<=4" "<=4.75" "anoli"
"25" "<=4" ">4.75" "anoli"
"26" "<=4" "<=4.75" "anoli"
"27" "<=4" ">4.75" "dist"
"28" ">4" "<=4.75" "dist"
"29" ">4" "<=4.75" "dist"
"30" ">4" "<=4.75" "dist"
"31" "<=4" "<=4.75" "anoli"
"32" "<=4" ">4.75" "dist"
"33" "<=4" "<=4.75" "dist"
"34" "<=4" ">4.75" "dist"
"35" "<=4" "<=4.75" "dist"
"36" ">4" "<=4.75" "dist"
"37" "<=4" ">4.75" "dist"
"38" "<=4" "<=4.75" "dist"
"39" ">4" "<=4.75" "dist"
"40" ">4" "<=4.75" "dist"
"41" ">4" ">4.75" "dist"
"42" ">4" ">4.75" "anoli"
"43" ">4" "<=4.75" "dist"
"44" "<=4" ">4.75" "dist"
"45" "<=4" "<=4.75" "anoli"
"46" ">4" "<=4.75" "anoli"
"47" ">4" ">4.75" "dist"
"48" "<=4" "<=4.75" "anoli"
"49" "<=4" ">4.75" "dist"
"50" ">4" "<=4.75" "dist"
"51" ">4" "<=4.75" "anoli"
"52" ">4" "<=4.75" "dist"
"53" "<=4" ">4.75" "anoli"
"54" "<=4" ">4.75" "anoli"
"55" ">4" ">4.75" "dist"
"56" ">4" ">4.75" "dist"
"57" ">4" "<=4.75" "dist"
"58" "<=4" ">4.75" "dist"
"59" "<=4" "<=4.75" "anoli"
"60" "<=4" ">4.75" "anoli"
"61" ">4" ">4.75" "anoli"
"62" "<=4" "<=4.75" "dist"
"63" "<=4" "<=4.75" "anoli"
"64" ">4" "<=4.75" "dist"
"65" ">4" "<=4.75" "anoli"
"66" "<=4" "<=4.75" "anoli"
"67" ">4" ">4.75" "dist"
"68" "<=4" "<=4.75" "dist"
"69" "<=4" "<=4.75" "dist"
"70" "<=4" "<=4.75" "anoli"
"71" ">4" "<=4.75" "dist"
"72" ">4" "<=4.75" "anoli"
"73" "<=4" "<=4.75" "anoli"
"74" "<=4" "<=4.75" "anoli"
"75" ">4" "<=4.75" "dist"
"76" "<=4" "<=4.75" "dist"
"77" "<=4" "<=4.75" "dist"
"78" "<=4" ">4.75" "anoli"
"79" ">4" ">4.75" "dist"
"80" ">4" "<=4.75" "dist"
"81" "<=4" "<=4.75" "dist"
"82" ">4" "<=4.75" "anoli"
"83" "<=4" ">4.75" "anoli"
"84" "<=4" "<=4.75" "dist"
"85" "<=4" ">4.75" "dist"
"86" ">4" "<=4.75" "anoli"
"87" ">4" "<=4.75" "anoli"
"88" "<=4" ">4.75" "dist"
"89" "<=4" "<=4.75" "anoli"
"90" "<=4" ">4.75" "anoli"
"91" ">4" "<=4.75" "dist"
"92" "<=4" ">4.75" "anoli"
"93" ">4" ">4.75" "dist"
"94" "<=4" "<=4.75" "dist"
"95" "<=4" ">4.75" "dist"
"96" "<=4" "<=4.75" "dist"
"97" ">4" "<=4.75" "dist"
"98" "<=4" ">4.75" "dist"
"99" "<=4" "<=4.75" "anoli"
"100" ">4" ">4.75" "anoli"
"101" "<=4" "<=4.75" "anoli"
"102" ">4" "<=4.75" "dist"
"103" "<=4" ">4.75" "dist"
"104" "<=4" "<=4.75" "anoli"
"105" ">4" ">4.75" "dist"
"106" "<=4" ">4.75" "anoli"
"107" "<=4" "<=4.75" "dist"
"108" ">4" "<=4.75" "anoli"
"109" "<=4" ">4.75" "dist"
"110" ">4" "<=4.75" "dist"
"111" ">4" ">4.75" "dist"
"112" "<=4" "<=4.75" "anoli"
"113" ">4" "<=4.75" "dist"
"114" "<=4" ">4.75" "dist"
"115" "<=4" "<=4.75" "anoli"
"116" ">4" ">4.75" "anoli"
"117" ">4" ">4.75" "dist"
"118" ">4" "<=4.75" "dist"
"119" "<=4" "<=4.75" "anoli"
"120" ">4" ">4.75" "dist"
"121" "<=4" "<=4.75" "anoli"
"122" "<=4" ">4.75" "dist"
"123" ">4" "<=4.75" "dist"
"124" ">4" ">4.75" "dist"
"125" ">4" "<=4.75" "anoli"
"126" ">4" ">4.75" "anoli"
"127" "<=4" ">4.75" "dist"
"128" "<=4" ">4.75" "anoli"
"129" "<=4" "<=4.75" "anoli"
"130" "<=4" "<=4.75" "anoli"
"131" "<=4" "<=4.75" "dist"
"132" "<=4" ">4.75" "dist"
"133" "<=4" "<=4.75" "anoli"
"134" "<=4" ">4.75" "dist"
"135" ">4" ">4.75" "dist"
"136" "<=4" "<=4.75" "dist"
"137" "<=4" "<=4.75" "dist"
"138" "<=4" "<=4.75" "anoli"
"139" "<=4" "<=4.75" "anoli"
"140" "<=4" "<=4.75" "anoli"
"141" "<=4" "<=4.75" "dist"
"142" ">4" "<=4.75" "dist"
"143" "<=4" ">4.75" "anoli"
"144" "<=4" "<=4.75" "dist"
"145" ">4" "<=4.75" "anoli"
"146" "<=4" ">4.75" "anoli"
"147" "<=4" "<=4.75" "anoli"
"148" ">4" ">4.75" "anoli"
"149" "<=4" ">4.75" "dist"
"150" "<=4" "<=4.75" "dist"
"151" ">4" "<=4.75" "dist"
"152" "<=4" "<=4.75" "anoli"
"153" "<=4" "<=4.75" "dist"
"154" "<=4" "<=4.75" "dist"
"155" "<=4" ">4.75" "dist"
"156" ">4" "<=4.75" "dist"
"157" ">4" "<=4.75" "dist"
"158" "<=4" "<=4.75" "anoli"
"159" "<=4" ">4.75" "dist"
"160" ">4" "<=4.75" "dist"
"161" "<=4" "<=4.75" "dist"
"162" "<=4" "<=4.75" "dist"
"163" "<=4" ">4.75" "dist"
"164" "<=4" ">4.75" "anoli"
"165" "<=4" "<=4.75" "anoli"
"166" "<=4" "<=4.75" "dist"
"167" "<=4" "<=4.75" "anoli"
"168" "<=4" "<=4.75" "anoli"
"169" "<=4" "<=4.75" "anoli"
"170" ">4" "<=4.75" "dist"
"171" "<=4" "<=4.75" "dist"
"172" "<=4" "<=4.75" "dist"
"173" ">4" "<=4.75" "dist"
"174" ">4" "<=4.75" "anoli"
"175" ">4" ">4.75" "dist"
"176" "<=4" ">4.75" "dist"
"177" "<=4" ">4.75" "dist"
"178" "<=4" "<=4.75" "anoli"
"179" ">4" ">4.75" "dist"
"180" "<=4" "<=4.75" "dist"
"181" "<=4" ">4.75" "dist"
"182" "<=4" "<=4.75" "anoli"
"183" ">4" "<=4.75" "anoli"
"184" "<=4" ">4.75" "dist"
"185" ">4" "<=4.75" "dist"
"186" ">4" "<=4.75" "anoli"
"187" "<=4" "<=4.75" "dist"
"188" ">4" "<=4.75" "dist"
"189" ">4" "<=4.75" "anoli"
"190" ">4" ">4.75" "anoli"
"191" "<=4" "<=4.75" "anoli"
"192" "<=4" "<=4.75" "anoli"
"193" ">4" "<=4.75" "dist"
"194" ">4" ">4.75" "dist"
"195" "<=4" ">4.75" "dist"
"196" ">4" "<=4.75" "anoli"
"197" "<=4" ">4.75" "anoli"
"198" "<=4" "<=4.75" "anoli"
"199" ">4" "<=4.75" "dist"
"200" "<=4" ">4.75" "anoli"
"201" "<=4" ">4.75" "dist"
"202" "<=4" ">4.75" "anoli"
"203" ">4" "<=4.75" "anoli"
"204" "<=4" "<=4.75" "dist"
"205" "<=4" "<=4.75" "anoli"
"206" "<=4" "<=4.75" "anoli"
"207" "<=4" ">4.75" "dist"
"208" "<=4" "<=4.75" "anoli"
"209" ">4" "<=4.75" "dist"
"210" ">4" ">4.75" "dist"
"211" ">4" "<=4.75" "anoli"
"212" "<=4" "<=4.75" "anoli"
"213" "<=4" "<=4.75" "dist"
"214" "<=4" "<=4.75" "anoli"
"215" ">4" ">4.75" "anoli"
"216" "<=4" "<=4.75" "anoli"
"217" "<=4" "<=4.75" "dist"
"218" ">4" "<=4.75" "dist"
"219" "<=4" "<=4.75" "anoli"
"220" "<=4" ">4.75" "dist"
"221" "<=4" "<=4.75" "dist"
"222" "<=4" ">4.75" "dist"
"223" "<=4" ">4.75" "dist"
"224" "<=4" "<=4.75" "anoli"
"225" "<=4" "<=4.75" "anoli"
"226" "<=4" "<=4.75" "anoli"
"227" ">4" "<=4.75" "anoli"
"228" "<=4" "<=4.75" "anoli"
"229" ">4" ">4.75" "dist"
"230" "<=4" "<=4.75" "dist"
"231" ">4" ">4.75" "dist"
"232" "<=4" ">4.75" "anoli"
"233" "<=4" ">4.75" "dist"
"234" ">4" "<=4.75" "anoli"
"235" "<=4" ">4.75" "anoli"
"236" "<=4" ">4.75" "dist"
"237" ">4" "<=4.75" "dist"
"238" ">4" "<=4.75" "dist"
"239" "<=4" "<=4.75" "anoli"
"240" ">4" "<=4.75" "dist"
"241" ">4" ">4.75" "anoli"
"242" "<=4" "<=4.75" "dist"
"243" "<=4" ">4.75" "dist"
"244" "<=4" "<=4.75" "anoli"
"245" "<=4" "<=4.75" "dist"
"246" "<=4" ">4.75" "anoli"
"247" "<=4" "<=4.75" "anoli"
"248" ">4" "<=4.75" "dist"
"249" "<=4" "<=4.75" "dist"
"250" "<=4" "<=4.75" "dist"
"251" "<=4" "<=4.75" "anoli"
"252" "<=4" ">4.75" "dist"
"253" ">4" "<=4.75" "dist"
"254" "<=4" "<=4.75" "dist"
"255" ">4" ">4.75" "dist"
"256" "<=4" "<=4.75" "anoli"
"257" ">4" "<=4.75" "dist"
"258" "<=4" "<=4.75" "anoli"
"259" "<=4" "<=4.75" "anoli"
"260" "<=4" "<=4.75" "anoli"
"261" "<=4" "<=4.75" "anoli"
"262" "<=4" "<=4.75" "anoli"
"263" "<=4" "<=4.75" "anoli"
"264" ">4" ">4.75" "dist"
"265" "<=4" ">4.75" "anoli"
"266" "<=4" ">4.75" "dist"
"267" ">4" ">4.75" "dist"
"268" ">4" ">4.75" "dist"
"269" ">4" "<=4.75" "dist"
"270" "<=4" "<=4.75" "anoli"
"271" "<=4" "<=4.75" "dist"
"272" "<=4" "<=4.75" "dist"
"273" "<=4" "<=4.75" "dist"
"274" ">4" ">4.75" "anoli"
"275" "<=4" ">4.75" "dist"
"276" "<=4" ">4.75" "dist"
"277" "<=4" ">4.75" "dist"
"278" "<=4" "<=4.75" "anoli"
"279" "<=4" ">4.75" "dist"
"280" "<=4" "<=4.75" "dist"
"281" "<=4" ">4.75" "anoli"
"282" ">4" "<=4.75" "dist"
"283" ">4" "<=4.75" "dist"
"284" ">4" ">4.75" "dist"
"285" ">4" "<=4.75" "anoli"
"286" "<=4" "<=4.75" "anoli"
"287" "<=4" "<=4.75" "dist"
"288" ">4" "<=4.75" "dist"
"289" "<=4" ">4.75" "dist"
"290" "<=4" ">4.75" "dist"
"291" "<=4" ">4.75" "anoli"
"292" "<=4" ">4.75" "dist"
"293" "<=4" ">4.75" "anoli"
"294" "<=4" "<=4.75" "anoli"
"295" "<=4" ">4.75" "dist"
"296" ">4" "<=4.75" "dist"
"297" ">4" "<=4.75" "dist"
"298" ">4" ">4.75" "dist"
"299" "<=4" "<=4.75" "anoli"
"300" "<=4" "<=4.75" "anoli"
"301" "<=4" ">4.75" "dist"
"302" ">4" ">4.75" "dist"
"303" "<=4" ">4.75" "dist"
"304" "<=4" "<=4.75" "dist"
"305" "<=4" "<=4.75" "dist"
"306" ">4" "<=4.75" "anoli"
"307" ">4" "<=4.75" "dist"
"308" ">4" "<=4.75" "dist"
"309" ">4" "<=4.75" "anoli"
"310" ">4" ">4.75" "dist"
"311" "<=4" "<=4.75" "dist"
"312" "<=4" "<=4.75" "anoli"
"313" "<=4" "<=4.75" "dist"
"314" ">4" "<=4.75" "anoli"
"315" "<=4" ">4.75" "dist"
"316" ">4" ">4.75" "dist"
"317" "<=4" "<=4.75" "dist"
"318" "<=4" "<=4.75" "dist"
"319" ">4" "<=4.75" "anoli"
"320" "<=4" ">4.75" "dist"
"321" "<=4" "<=4.75" "dist"
"322" ">4" "<=4.75" "anoli"
"323" "<=4" ">4.75" "dist"
"324" "<=4" "<=4.75" "dist"
"325" "<=4" ">4.75" "dist"
"326" "<=4" "<=4.75" "anoli"
"327" ">4" "<=4.75" "anoli"
"328" ">4" "<=4.75" "anoli"
"329" "<=4" "<=4.75" "anoli"
"330" ">4" "<=4.75" "dist"
"331" "<=4" "<=4.75" "anoli"
"332" "<=4" "<=4.75" "dist"
"333" ">4" "<=4.75" "dist"
"334" ">4" ">4.75" "anoli"
"335" "<=4" "<=4.75" "dist"
"336" ">4" "<=4.75" "anoli"
"337" ">4" ">4.75" "dist"
"338" "<=4" "<=4.75" "dist"
"339" "<=4" "<=4.75" "dist"
"340" ">4" "<=4.75" "dist"
"341" "<=4" "<=4.75" "dist"
"342" ">4" ">4.75" "dist"
"343" "<=4" ">4.75" "dist"
"344" "<=4" ">4.75" "anoli"
"345" "<=4" ">4.75" "dist"
"346" "<=4" "<=4.75" "dist"
"347" "<=4" "<=4.75" "dist"
"348" "<=4" ">4.75" "dist"
"349" ">4" "<=4.75" "dist"
"350" ">4" ">4.75" "dist"
"351" "<=4" ">4.75" "anoli"
"352" ">4" "<=4.75" "dist"
"353" ">4" "<=4.75" "dist"
"354" ">4" ">4.75" "dist"
"355" ">4" "<=4.75" "dist"
"356" "<=4" "<=4.75" "anoli"
"357" ">4" "<=4.75" "dist"
"358" "<=4" "<=4.75" "dist"
"359" ">4" ">4.75" "dist"
"360" ">4" "<=4.75" "anoli"
"361" ">4" "<=4.75" "anoli"
"362" "<=4" ">4.75" "dist"
"363" "<=4" "<=4.75" "anoli"
"364" "<=4" "<=4.75" "dist"
"365" ">4" "<=4.75" "dist"
"366" ">4" ">4.75" "dist"
"367" "<=4" "<=4.75" "dist"
"368" ">4" "<=4.75" "dist"
"369" "<=4" "<=4.75" "dist"
"370" "<=4" "<=4.75" "anoli"
"371" "<=4" "<=4.75" "anoli"
"372" "<=4" "<=4.75" "anoli"
"373" ">4" "<=4.75" "dist"
"374" "<=4" "<=4.75" "anoli"
"375" "<=4" ">4.75" "anoli"
"376" "<=4" ">4.75" "anoli"
"377" "<=4" "<=4.75" "anoli"
"378" "<=4" "<=4.75" "dist"
"379" ">4" "<=4.75" "dist"
"380" "<=4" "<=4.75" "dist"
"381" "<=4" "<=4.75" "dist"
"382" ">4" "<=4.75" "dist"
"383" ">4" "<=4.75" "dist"
"384" "<=4" ">4.75" "dist"
"385" "<=4" "<=4.75" "dist"
"386" "<=4" "<=4.75" "dist"
"387" "<=4" "<=4.75" "dist"
"388" "<=4" ">4.75" "anoli"
"389" "<=4" "<=4.75" "dist"
"390" "<=4" "<=4.75" "anoli"
"391" "<=4" "<=4.75" "anoli"
"392" ">4" "<=4.75" "dist"
"393" "<=4" ">4.75" "dist"
"394" "<=4" ">4.75" "anoli"
"395" "<=4" ">4.75" "dist"
"396" "<=4" "<=4.75" "dist"
"397" ">4" "<=4.75" "anoli"
"398" "<=4" "<=4.75" "dist"
"399" "<=4" "<=4.75" "anoli"
"400" "<=4" "<=4.75" "anoli"
"401" ">4" ">4.75" "dist"
"402" ">4" ">4.75" "dist"
"403" "<=4" ">4.75" "dist"
"404" "<=4" "<=4.75" "anoli"
"405" ">4" "<=4.75" "anoli"
"406" "<=4" ">4.75" "anoli"
"407" "<=4" "<=4.75" "anoli"
"408" ">4" "<=4.75" "dist"
"409" "<=4" "<=4.75" "anoli"
